country,hdi,life_expect,school_years,gni_per_capita,unemployment,gini
Timor-Leste,605,68.5,4.4,5371,5,31.6
Vanuatu,597,72.1,6.8,2805,4.3,37.2
Congo,592,62.9,6.3,5503,7.2,48.9
Equatorial Guinea,592,57.9,5.5,21517,9.4,
Kiribati,588,66.2,7.8,2475,,37.6
Lao People's Democratic Republic,586,66.6,5.2,5049,1.6,37.9
Bangladesh,579,72,5.2,3341,4.4,32.1
Ghana,579,61.5,6.9,3839,6.3,42.8
Zambia,579,60.8,6.9,3464,10.7,55.6
Sao Tome and Principe,574,66.6,5.3,3070,14,30.8
Cambodia,563,68.8,4.7,3095,0.5,30.8
Nepal,558,70,4.1,2337,3.1,32.8
Myanmar,556,66.1,4.7,4943,4.7,
Kenya,555,62.2,6.3,2881,9.2,48.5
Pakistan,550,66.4,5.1,5031,5.4,30.7
Swaziland,541,48.9,6.8,7522,25.6,51.5
Syrian Arab Republic,536,69.7,5.1,2441,12.3,
Angola,533,52.7,5,6291,7.6,42.7
Tanzania (United Republic of),531,65.5,5.8,2467,3.2,37.8
Nigeria,527,53.1,6,5443,5.8,43.0
Cameroon,518,56,6.1,2894,4.6,46.5
Papua New Guinea,516,62.8,4.3,2712,3.1,43.9
Zimbabwe,516,59.2,7.7,1588,9.3,43.2
Solomon Islands,515,68.1,5.3,1561,34.8,46.1
Mauritania,513,63.2,4.3,3527,31.1,32.4
Madagascar,512,65.5,6.1,1320,2.2,42.7
Rwanda,498,64.7,3.8,1617,2.4,50.4
Comoros,497,63.6,4.8,1335,19.6,
Lesotho,497,50.1,6.1,3319,27.5,54.2
Senegal,494,66.9,2.8,2250,9.3,40.3
Haiti,493,63.1,5.2,1657,6.9,60.8
Uganda,493,59.2,5.7,1670,3.6,41.0
Sudan,490,63.7,3.5,3846,13.6,35.4
Togo,487,60.2,4.7,1262,7.7,46.0
Benin,485,59.8,3.5,1979,1.1,43.4
Yemen,482,64.1,3,2300,15.9,
Afghanistan,479,60.7,3.6,1871,9.6,
Malawi,476,63.9,4.4,1073,6.7,46.1
Côte d'Ivoire,474,51.9,5,3163,9.5,43.2
Djibouti,473,62.3,4.1,3216,53.9,44.1
Gambia,452,60.5,3.3,1541,30.1,
Ethiopia,448,64.6,2.6,1523,5.5,33.2
Mali,442,58.5,2.3,2218,8.5,33.0
Congo (Democratic Republic of the),435,59.1,6.1,680,3.8,42.1
Liberia,427,61.2,4.4,683,4.2,36.5
Guinea-Bissau,424,55.5,2.9,1369,7.6,50.7
Eritrea,420,64.2,3.9,1490,8.4,
Sierra Leone,420,51.3,3.3,1529,3.4,34.0
Mozambique,418,55.5,3.5,1098,22.3,45.6
South Sudan,418,56.1,4.8,1882,,46.3
Guinea,414,59.2,2.6,1058,1.8,33.7
Burundi,404,57.1,3,691,1.5,33.4
Burkina Faso,402,59,1.4,1537,2.9,35.3
Chad,396,51.9,2.3,1991,5.6,43.3
Niger,353,61.9,1.7,889,2.8,34.0
Central African Republic,352,51.5,4.2,587,7.6,56.2
